time,open,high,low,close,volume,range,target,larry_profit_rate
2021-01-01,31596000.0,32588000.0,31552000.0,32235000.0,5116.19003758,828800.0,,1.0
2021-01-02,32235000.0,34675000.0,31765000.0,34364000.0,7210.47244494,2328000.0,33063800.0,1.0393239736509414
2021-01-03,34364000.0,39427000.0,33691000.0,38096000.0,18610.0383447,4588800.0,36692000.0,1.0382644718194702
2021-01-04,38069000.0,38399000.0,32100000.0,36632000.0,20613.87739156,5039200.0,42657800.0,1.0
2021-01-05,36649000.0,37400000.0,34265000.0,36512000.0,10671.14227777,2508000.0,41688200.0,1.0
2021-01-06,36514000.0,39798000.0,35890000.0,38188000.0,13038.66231775,3126400.0,39022000.0,0.978627440930757
2021-01-07,38193000.0,42983000.0,38131000.0,42700000.0,12665.33657389,3881600.0,41319400.0,1.033412876276035
2021-01-08,42700000.0,47836000.0,41540000.0,47449000.0,16447.67897901,5036800.0,46581600.0,1.0186210864375633
2021-01-09,47442000.0,47954000.0,45110000.0,46718000.0,10352.91714642,2275200.0,52478800.0,1.0
2021-01-10,46748000.0,47000000.0,43628000.0,44404000.0,9941.75503881,2697600.0,49023200.0,1.0
2021-01-11,44405000.0,44999000.0,36004000.0,37726000.0,27020.49399246,7196000.0,47102600.0,1.0
2021-01-12,37676000.0,40847000.0,34300000.0,37332000.0,19725.14528949,5237600.0,44872000.0,1.0
2021-01-13,37332000.0,39300000.0,36900000.0,38171000.0,9810.55928844,1920000.0,42569600.0,1.0
2021-01-14,38182000.0,43637000.0,38131000.0,43381000.0,11813.90887764,4404800.0,40102000.0,1.0817664954366366
2021-01-15,43381000.0,43898000.0,40415000.0,40682000.0,10069.46439854,2786400.0,47785800.0,1.0
2021-01-16,40657000.0,41848000.0,38500000.0,40690000.0,9232.21081427,2678400.0,43443400.0,1.0
2021-01-17,40713000.0,41300000.0,38044000.0,38723000.0,6593.75713699,2604800.0,43391400.0,1.0
2021-01-18,38720000.0,40948000.0,38700000.0,39889000.0,6549.38633137,1798400.0,41324800.0,1.0
2021-01-19,39897000.0,40770000.0,39224000.0,40329000.0,6161.29807697,1236800.0,41695400.0,1.0
2021-01-20,40360000.0,41018000.0,38086000.0,38708000.0,7038.41221691,2345600.0,41596800.0,1.0
2021-01-21,38706000.0,39449000.0,35071000.0,35298000.0,10870.28287206,3502400.0,41051600.0,1.0
2021-01-22,35270000.0,36874000.0,31500000.0,36064000.0,15768.75846266,4299200.0,38772400.0,1.0
2021-01-23,36070000.0,37357000.0,34700000.0,35293000.0,6167.84464123,2125600.0,40369200.0,1.0
2021-01-24,35293000.0,36250000.0,35032000.0,35240000.0,4147.24671745,974400.0,37418600.0,1.0
2021-01-25,35255000.0,38276000.0,34184000.0,37876000.0,7659.12629593,3273600.0,36229400.0,1.0454492760023628
2021-01-26,37874000.0,38002000.0,34754000.0,35113000.0,7784.22415822,2598400.0,41147600.0,1.0
2021-01-27,35100000.0,36400000.0,33103000.0,33487000.0,6361.50116772,2637600.0,37698400.0,1.0
2021-01-28,33489000.0,35509000.0,33329000.0,35297000.0,7309.60625023,1744000.0,36126600.0,1.0
2021-01-29,35283000.0,40949000.0,35051000.0,39554000.0,14723.34815255,4718400.0,37027000.0,1.0682474950711642
2021-01-30,39554000.0,40200000.0,36415000.0,37269000.0,6472.61791175,3028000.0,44272400.0,1.0
2021-01-31,37269000.0,37549000.0,36120000.0,36652000.0,5301.23669408,1143200.0,40297000.0,1.0
2021-02-01,36644000.0,38050000.0,35763000.0,36516000.0,7835.28794905,1829600.0,37787200.0,0.9663589787017827
2021-02-02,36536000.0,38116000.0,36251000.0,37274000.0,5808.17973413,1492000.0,38365600.0,1.0
2021-02-03,37294000.0,39222000.0,37100000.0,38669000.0,7402.88213863,1697600.0,38786000.0,0.9969834476357449
2021-02-04,38669000.0,41242000.0,38104000.0,39414000.0,7739.44545505,2510400.0,40366600.0,0.9764012822481953
2021-02-05,39383000.0,40700000.0,38700000.0,40352000.0,4952.06089325,1600000.0,41893400.0,1.0
2021-02-06,40358000.0,43554000.0,39751000.0,42927000.0,6982.12955253,3042400.0,41958000.0,1.0230945230945232
2021-02-07,42929000.0,43649000.0,41010000.0,41268000.0,5627.51744899,2111200.0,45971400.0,1.0
2021-02-08,41139000.0,47000000.0,40620000.0,45837000.0,9231.851338425,5104000.0,43250200.0,1.0598101280456507
2021-02-09,45812000.0,51000000.0,44573000.0,49534000.0,11597.25513918,5141600.0,50916000.0,0.9728572550868096
2021-02-10,49532000.0,50162000.0,48215000.0,48402000.0,6130.710284835,1557600.0,54673600.0,1.0
2021-02-11,48412000.0,51325000.0,47351000.0,50656000.0,6351.536406195,3179200.0,49969600.0,1.0137363517018347
2021-02-12,50629000.0,52250000.0,50142000.0,50506000.0,5381.10938017,1686400.0,53808200.0,1.0
2021-02-13,50506000.0,51755000.0,50140000.0,50890000.0,4429.72288809,1292000.0,52192400.0,1.0
2021-02-14,50890000.0,53112000.0,50150000.0,51885000.0,5189.82622678,2369600.0,52182000.0,0.9943083822007589
2021-02-15,51885000.0,53020000.0,50739000.0,51732000.0,4695.0939393,1824800.0,54254600.0,1.0
2021-02-16,51732000.0,55200000.0,51710000.0,54293000.0,5827.690026145,2792000.0,53556800.0,1.0137461536163475
2021-02-17,54293000.0,57360000.0,53425000.0,56582000.0,6307.9782925,3148000.0,57085000.0,0.9911885784356661
2021-02-18,56582000.0,58200000.0,56300000.0,58029000.0,4979.27512826,1520000.0,59730000.0,1.0
2021-02-19,58025000.0,59694000.0,57043000.0,59325000.0,4350.68455008,2120800.0,59545000.0,0.9963053153077505
2021-02-20,59320000.0,65571000.0,59260000.0,64588000.0,7468.30117878,5048800.0,61440800.0,1.0512232913633937
2021-02-21,64588000.0,65600000.0,63351000.0,65085000.0,5573.75069521,1799200.0,69636800.0,1.0
2021-02-22,65030000.0,65800000.0,54500000.0,59803000.0,10432.559224975,9040000.0,66829200.0,1.0
2021-02-23,59866000.0,63365000.0,50035000.0,52556000.0,14022.961974355,10664000.0,68906000.0,1.0
2021-02-24,52566000.0,58046000.0,51678000.0,55331000.0,8840.07058408,5094400.0,63230000.0,1.0
2021-02-25,55331000.0,58714000.0,53994000.0,57468000.0,10385.11905413,3776000.0,60425400.0,1.0
2021-02-26,57413000.0,57916000.0,51515000.0,53672000.0,14554.65446271,5120800.0,61189000.0,1.0
2021-02-27,53666000.0,55282000.0,52063000.0,54016000.0,13555.05210486,2575200.0,58786800.0,1.0
2021-02-28,54009000.0,54365000.0,50100000.0,51403000.0,13824.27625432,3412000.0,56584200.0,1.0
2021-03-01,51403000.0,54750000.0,49440000.0,54363000.0,14417.73995979,4248000.0,54815000.0,1.0
2021-03-02,54367000.0,57271000.0,54351000.0,55600000.0,13327.43855134,2336000.0,58615000.0,1.0
2021-03-03,55602000.0,59400000.0,54200000.0,57669000.0,14004.19201716,4160000.0,57938000.0,0.9953571058717939
2021-03-04,57668000.0,58970000.0,56100000.0,56759000.0,8303.49521655,2296000.0,61828000.0,1.0
2021-03-05,56759000.0,57368000.0,54350000.0,55836000.0,11505.02274516,2414400.0,59055000.0,1.0
2021-03-06,55876000.0,57049000.0,54610000.0,55236000.0,8371.24758333,1951200.0,58290400.0,1.0
2021-03-07,55251000.0,58240000.0,54800000.0,57691000.0,9429.02675362,2752000.0,57202200.0,1.0085451258867666
2021-03-08,57695000.0,58940000.0,56910000.0,58137000.0,11308.05574314,1624000.0,60447000.0,1.0
2021-03-09,58156000.0,62366000.0,57963000.0,62203000.0,12227.93278665,3522400.0,59780000.0,1.040531950485112
2021-03-10,62203000.0,64350000.0,60711000.0,64047000.0,5638.63211095,2911200.0,65725400.0,1.0
2021-03-11,64139000.0,65388000.0,62720000.0,65061000.0,5770.14173106,2134400.0,67050200.0,1.0
2021-03-12,65074000.0,66498000.0,64278000.0,65265000.0,4742.43571365,1776000.0,67208400.0,1.0
2021-03-13,65265000.0,69449000.0,65082000.0,68689000.0,4748.199642755,3493600.0,67041000.0,1.0245819722259513
2021-03-14,68670000.0,71200000.0,68280000.0,69209000.0,4268.00586189,2336000.0,72163600.0,1.0
2021-03-15,69215000.0,70088000.0,63200000.0,65171000.0,6334.77805089,5510400.0,71551000.0,1.0
2021-03-16,65100000.0,66166000.0,61730000.0,64220000.0,5745.67679219,3548800.0,70610400.0,1.0
2021-03-17,64208000.0,66250000.0,62480000.0,63521000.0,3916.8299722,3016000.0,67756800.0,1.0
2021-03-18,63518000.0,68851000.0,63250000.0,67305000.0,4702.0691504,4480800.0,66534000.0,1.0115880602398775
2021-03-19,67317000.0,69879000.0,65522000.0,68318000.0,4467.630594555,3485600.0,71797800.0,1.0
2021-03-20,68315000.0,69541000.0,67549000.0,68745000.0,3366.72012716,1593600.0,71800600.0,1.0
2021-03-21,68736000.0,69187000.0,65460000.0,67093000.0,3802.04665622,2981600.0,70329600.0,1.0
2021-03-22,67092000.0,68200000.0,66100000.0,67092000.0,3427.31016514,1680000.0,70073600.0,1.0
2021-03-23,67095000.0,67248000.0,62708000.0,65240000.0,5494.17519368,3632000.0,68775000.0,1.0
2021-03-24,65212000.0,68100000.0,64510000.0,67584000.0,3564.06155735,2872000.0,68844000.0,1.0
2021-03-25,67599000.0,67747000.0,62660000.0,63115000.0,5202.97895491,4069600.0,70471000.0,1.0
2021-03-26,63155000.0,65152000.0,62313000.0,64170000.0,3079.4284494,2271200.0,67224600.0,1.0
2021-03-27,64170000.0,66000000.0,63732000.0,65632000.0,2345.20757788,1814400.0,66441200.0,1.0
2021-03-28,65651000.0,67200000.0,65500000.0,66784000.0,2516.66666718,1360000.0,67465400.0,1.0
2021-03-29,66788000.0,69098000.0,66206000.0,68860000.0,3497.03776671,2313600.0,68148000.0,1.0104478487996713
2021-03-30,68868000.0,70439000.0,67300000.0,70099000.0,3471.703269965,2511200.0,71181600.0,1.0
2021-03-31,70104000.0,71321000.0,69210000.0,70508000.0,3521.68192982,1688800.0,72615200.0,1.0
2021-04-01,70523000.0,72350000.0,69900000.0,72067000.0,4915.086459005,1960000.0,72211800.0,0.9979947875554964
2021-04-02,72067000.0,73690000.0,71490000.0,73338000.0,3520.11875727,1760000.0,74027000.0,1.0
2021-04-03,73294000.0,75341000.0,72520000.0,75280000.0,3103.71844287,2256800.0,75054000.0,1.0030111652943214
2021-04-04,75280000.0,75334000.0,71500000.0,73224000.0,3802.45737803,3067200.0,77536800.0,1.0
2021-04-05,73225000.0,76642000.0,72821000.0,76642000.0,4187.61558173,3056800.0,76292200.0,1.0045850034472725
2021-04-06,76614000.0,78990000.0,76190000.0,77605000.0,5841.88408494,2240000.0,79670800.0,1.0
2021-04-07,77631000.0,79500000.0,68100000.0,72387000.0,8720.496602925,9120000.0,79871000.0,1.0
2021-04-08,72387000.0,74628000.0,70350000.0,74330000.0,4763.426768125,3422400.0,81507000.0,1.0
2021-04-09,74313000.0,75986000.0,73154000.0,75471000.0,4106.284155735,2265600.0,77735400.0,1.0
2021-04-10,75443000.0,79154000.0,75000000.0,78514000.0,3855.94385521,3323200.0,77708600.0,1.010364361216133
2021-04-11,78480000.0,79100000.0,76300000.0,77688000.0,3713.84987632,2240000.0,81803200.0,1.0
2021-04-12,77646000.0,78900000.0,77281000.0,78106000.0,2916.37782612,1295200.0,79886000.0,1.0
2021-04-13,78119000.0,81109000.0,77560000.0,80374000.0,4157.46396348,2839200.0,79414200.0,1.0120859997330451
2021-04-14,80360000.0,81487000.0,78500000.0,80420000.0,5168.829393785,2389600.0,83199200.0,1.0
2021-04-15,80420000.0,81000000.0,77734000.0,78865000.0,3898.24695879,2612800.0,82809600.0,1.0
2021-04-16,78880000.0,80750000.0,77500000.0,79623000.0,4514.54569421,2600000.0,81492800.0,1.0
2021-04-17,79520000.0,79770000.0,77559000.0,77857000.0,3871.70351666,1768800.0,82120000.0,1.0
2021-04-18,77857000.0,78462000.0,70200000.0,73216000.0,7884.82998401,6609600.0,79625800.0,1.0
2021-04-19,73216000.0,77400000.0,72201000.0,72872000.0,6814.39992924,4159200.0,79825600.0,1.0
2021-04-20,72869000.0,73910000.0,65350000.0,69680000.0,7766.40218801,6848000.0,77028200.0,1.0
2021-04-21,69680000.0,71992000.0,68000000.0,70300000.0,4141.20405016,3193600.0,76528000.0,1.0
2021-04-22,70351000.0,70541000.0,63074000.0,66012000.0,6784.98251347,5973600.0,73544600.0,1.0
2021-04-23,66012000.0,66198000.0,55199000.0,57466000.0,11727.06296963,8799200.0,71985600.0,1.0
2021-04-24,57477000.0,61584000.0,56681000.0,59252000.0,5543.34885553,3922400.0,66276200.0,1.0
2021-04-25,59244000.0,62390000.0,58880000.0,61049000.0,3886.11863121,2808000.0,63166400.0,1.0
2021-04-26,61008000.0,63828000.0,57330000.0,62852000.0,5680.77561351,5198400.0,63816000.0,0.9848940704525511
2021-04-27,62824000.0,64777000.0,62260000.0,64293000.0,4571.913474235,2013600.0,68022400.0,1.0
2021-04-28,64284000.0,65760000.0,62631000.0,63239000.0,4237.99830374,2503200.0,66297600.0,1.0
2021-04-29,63241000.0,65351000.0,62944000.0,63299000.0,3549.677927,1925600.0,65744200.0,1.0
2021-04-30,63299000.0,66600000.0,62770000.0,66423000.0,3603.83441176,3064000.0,65224600.0,1.018373435789564
2021-05-01,66411000.0,69300000.0,66406000.0,68695000.0,3020.1390835,2315200.0,69475000.0,1.0
2021-05-02,68697000.0,69680000.0,66880000.0,68403000.0,2664.0069893,2240000.0,71012200.0,1.0
2021-05-03,68400000.0,70951000.0,67758000.0,69713000.0,2993.12695244,2554400.0,70640000.0,0.9868771234428086
2021-05-04,69701000.0,70281000.0,67079000.0,68474000.0,4703.76827701,2561600.0,72255400.0,1.0
2021-05-05,68474000.0,69550000.0,66276000.0,68719000.0,4132.402181055,2619200.0,71035600.0,1.0
2021-05-06,68719000.0,70333000.0,67538000.0,68823000.0,5379.35241114,2236000.0,71338200.0,1.0
2021-05-07,68803000.0,69154000.0,66401000.0,67839000.0,6067.826061565,2202400.0,71039000.0,1.0
2021-05-08,67824000.0,71095000.0,66810000.0,70227000.0,4861.72494438,3428000.0,70026400.0,1.002864633909497
2021-05-09,70227000.0,72909000.0,69156000.0,70670000.0,5048.68324238,3002400.0,73655000.0,1.0
2021-05-10,70669000.0,72140000.0,70020000.0,70858000.0,4372.93528074,1696000.0,73671400.0,1.0
2021-05-11,70750000.0,77974000.0,67568000.0,68476000.0,5919.611841835,8324800.0,72446000.0,0.9452005631780913
2021-05-12,68539000.0,70357000.0,68201000.0,68757000.0,4090.26043011,1724800.0,76863800.0,1.0
2021-05-13,68782000.0,69058000.0,58500000.0,63068000.0,9537.999985925,8446400.0,70506800.0,1.0
2021-05-14,63034000.0,63500000.0,60510000.0,62030000.0,4877.161284255,2392000.0,71480400.0,1.0
2021-05-15,61978000.0,62788000.0,59500000.0,60660000.0,3961.65685278,2630400.0,64370000.0,1.0
2021-05-16,60661000.0,60854000.0,57650000.0,59335000.0,3872.98154517,2563200.0,63291400.0,1.0
2021-05-17,59323000.0,59323000.0,50888000.0,53803000.0,8964.14447956,6748000.0,61886200.0,1.0
2021-05-18,53849000.0,56400000.0,52129000.0,53675000.0,5417.67151511,3416800.0,60597000.0,1.0
2021-05-19,53661000.0,54084000.0,42000000.0,48498000.0,11735.280407335,9667200.0,57077800.0,1.0
2021-05-20,48498000.0,53648000.0,47800000.0,51561000.0,10478.95152585,4678400.0,58165200.0,1.0
2021-05-21,51618000.0,52667000.0,48000000.0,48603000.0,6240.27308803,3733600.0,56296400.0,1.0
2021-05-22,48603000.0,49163000.0,43619000.0,46887000.0,7545.439307195,4435200.0,52336600.0,1.0
2021-05-23,46874000.0,48480000.0,41333000.0,42198000.0,6893.03172264,5717600.0,51309200.0,1.0
2021-05-24,42220000.0,47180000.0,38536000.0,45312000.0,9187.32971829,6915200.0,47937600.0,1.0
2021-05-25,45320000.0,49074000.0,44640000.0,46080000.0,7426.00312823,3547200.0,52235200.0,1.0
2021-05-26,46147000.0,48888000.0,45431000.0,47741000.0,4310.37008215,2765600.0,49694200.0,1.0
2021-05-27,47648000.0,48090000.0,45255000.0,47760000.0,4748.05914396,2268000.0,50413600.0,1.0
2021-05-28,47704000.0,47815000.0,42800000.0,44555000.0,5146.02270779,4012000.0,49972000.0,1.0
2021-05-29,44602000.0,45000000.0,41240000.0,41918000.0,5276.71871643,3008000.0,48614000.0,1.0
2021-05-30,41936000.0,43768000.0,40510000.0,42305000.0,4434.11002994,2606400.0,44944000.0,1.0
2021-05-31,42268000.0,44000000.0,41140000.0,43214000.0,5116.25003625,2288000.0,44874400.0,1.0
2021-06-01,43245000.0,44549000.0,42651000.0,43466000.0,3913.99685349,1518400.0,45533000.0,1.0
2021-06-02,43462000.0,44296000.0,42431000.0,43995000.0,3508.40066261,1492000.0,44980400.0,1.0
2021-06-03,44000000.0,45657000.0,43422000.0,44911000.0,3728.04628466,1788000.0,45492000.0,0.9872285236964741
2021-06-04,44914000.0,45538000.0,42100000.0,43276000.0,4234.17012163,2750400.0,46702000.0,1.0
2021-06-05,43303000.0,43803000.0,41500000.0,41987000.0,2900.827816065,1842400.0,46053400.0,1.0
2021-06-06,41974000.0,42718000.0,41342000.0,42075000.0,2331.0141608,1100800.0,43816400.0,1.0
2021-06-07,42038000.0,42500000.0,41379000.0,41758000.0,3134.12914389,896800.0,43138800.0,1.0
2021-06-08,41737000.0,41829000.0,36600000.0,36900000.0,6941.95578347,4183200.0,42633800.0,1.0
2021-06-09,36888000.0,40890000.0,36289000.0,40061000.0,4855.87405233,3680800.0,41071200.0,1.0
2021-06-10,40066000.0,44488000.0,40031000.0,42878000.0,7113.445824785,3565600.0,43746800.0,0.9801402616877121
2021-06-11,42848000.0,43499000.0,41886000.0,43223000.0,4660.67569554,1290400.0,46413600.0,1.0
2021-06-12,43223000.0,43891000.0,40536000.0,41431000.0,4199.98368726,2684000.0,44513400.0,1.0
2021-06-13,41430000.0,42076000.0,40536000.0,41722000.0,2078.15974635,1232000.0,44114000.0,1.0
2021-06-14,41722000.0,47488000.0,41690000.0,46828000.0,5563.23881558,4638400.0,42954000.0,1.090189505051916
2021-06-15,46822000.0,47092000.0,45500000.0,46261000.0,3408.16567201,1273600.0,51460400.0,1.0
2021-06-16,46238000.0,47521000.0,44890000.0,45113000.0,3461.52176077,2104800.0,47511600.0,0.9495154867442898
2021-06-17,45120000.0,46086000.0,44650000.0,45545000.0,3775.87773998,1148800.0,47224800.0,1.0
2021-06-18,45543000.0,45754000.0,43241000.0,43443000.0,3554.46146235,2010400.0,46691800.0,1.0
2021-06-19,43443000.0,43609000.0,41276000.0,42593000.0,3424.40592408,1866400.0,45453400.0,1.0
2021-06-20,42605000.0,42730000.0,39742000.0,40680000.0,3475.31186268,2390400.0,44471400.0,1.0
2021-06-21,40687000.0,42478000.0,37791000.0,39099000.0,6438.99342111,3749600.0,43077400.0,1.0
2021-06-22,39098000.0,39311000.0,33700000.0,35609000.0,8533.859866535,4488800.0,42847600.0,1.0
2021-06-23,35609000.0,40107000.0,35280000.0,39464000.0,7854.07462441,3861600.0,40097800.0,0.9841936465342238
2021-06-24,39462000.0,39860000.0,37700000.0,39619000.0,4251.95584444,1728000.0,43323600.0,1.0
2021-06-25,39619000.0,40938000.0,38100000.0,38310000.0,4451.64114428,2270400.0,41347000.0,1.0
2021-06-26,38310000.0,38540000.0,35460000.0,36505000.0,5437.27581024,2464000.0,40580400.0,1.0
2021-06-27,36505000.0,39088000.0,36130000.0,38650000.0,3537.27426853,2366400.0,38969000.0,0.991814006004773
2021-06-28,38650000.0,40600000.0,37863000.0,39833000.0,3922.3583021,2189600.0,41016400.0,1.0
2021-06-29,39834000.0,42105000.0,39402000.0,41842000.0,3713.91740976,2162400.0,42023600.0,0.9956786186809317
2021-06-30,41844000.0,42194000.0,39900000.0,40232000.0,3194.35176147,1835200.0,44006400.0,1.0
